"service","order","title","client","score","source","output"
"construcao","1","Termino Das Instalações Da Válvula Fechamento Das Valas Dos Tubo","PROJETO HEXAGONO - SAMARCO","141,25","PROJETO HEXAGONO - SAMARCO\CAMPO DE NOVO SOBERBO - SANTA CRUZ DO ESCALVADO\2025\Termino das instalações da válvula fechamento das valas dos tubo\WhatsApp Image 2025-09-29 at 08.46.57 (2).jpeg","/portfolio-real/construcao/01-construcao-termino-das-instalacoes-da-valvula-fechamento-das-valas-dos-tubo-1.jpg"
"construcao","2","Início Da Irrigação","PREFEITURA DE RIO DOCE","126,83","PREFEITURA DE RIO DOCE\Estádio Municipal\2025\SETEMBRO\INÍCIO DA IRRIGAÇÃO\WhatsApp Unknown 2025-09-25 at 13.25.55\WhatsApp Image 2025-09-25 at 12.51.33.jpeg","/portfolio-real/construcao/02-construcao-inicio-da-irrigacao-2.jpg"
"construcao","3","Colocando Os Tubos Nas Valas","PROJETO HEXAGONO - SAMARCO","125,15","PROJETO HEXAGONO - SAMARCO\CAMPO SANTANA DO DESERTO - RIO DOCE\SETEMBRO\Colocando os tubos nas valas\WhatsApp Unknown 2025-09-10 at 16.44.24\WhatsApp Image 2025-09-10 at 16.16.56.jpeg","/portfolio-real/construcao/03-construcao-colocando-os-tubos-nas-valas-3.jpg"
"construcao","4","Serviço De Drenagem Limpeza Do Gramado E Fechamento Dos Drenos","PREFEITURA DE RIO DOCE","123,84","PREFEITURA DE RIO DOCE\Estádio Municipal\2025\SETEMBRO\Serviço de drenagem - Limpeza do gramado e fechamento dos drenos\WhatsApp Image 2025-09-30 at 15.16.15.jpeg","/portfolio-real/construcao/04-construcao-servico-de-drenagem-limpeza-do-gramado-e-fechamento-dos-drenos-4.jpg"
"construcao","5","Irrigação Campo","PREFEITURA DE DIAMANTINA","119,83","PREFEITURA DE DIAMANTINA\2025\MAIO\IRRIGAÇÃO CAMPO\WhatsApp Image 2025-05-09 at 10.38.16 (1).jpeg","/portfolio-real/construcao/05-construcao-irrigacao-campo-5.jpg"
"construcao","6","Colocando Os Tubos Nas Valas","PROJETO HEXAGONO - SAMARCO","124,79","PROJETO HEXAGONO - SAMARCO\CAMPO SANTANA DO DESERTO - RIO DOCE\SETEMBRO\Colocando os tubos nas valas\WhatsApp Unknown 2025-09-10 at 16.44.24\WhatsApp Image 2025-09-10 at 16.16.59.jpeg","/portfolio-real/construcao/06-construcao-colocando-os-tubos-nas-valas-6.jpg"
"construcao","7","Marcação Das Valas","PREFEITURA DE RIO DOCE","123,11","PREFEITURA DE RIO DOCE\Estádio Municipal\2025\OUTUBRO\MARCAÇÃO DAS VALAS\WhatsApp Image 2025-10-01 at 18.41.20 (1).jpeg","/portfolio-real/construcao/07-construcao-marcacao-das-valas-7.jpg"
"construcao","8","Irrigação Campo","PREFEITURA DE DIAMANTINA","119,05","PREFEITURA DE DIAMANTINA\2025\MAIO\IRRIGAÇÃO CAMPO\WhatsApp Image 2025-05-09 at 10.38.16 (2).jpeg","/portfolio-real/construcao/08-construcao-irrigacao-campo-8.jpg"
"jardins","1","Manutenção de áreas verdes","PRAÇA NOSSA SENHORA DA CONCEIÇÃO","142,99","PRAÇA NOSSA SENHORA DA CONCEIÇÃO\ABRIL\30-04-2026\WhatsApp Image 2026-04-30 at 17.58.21 (3).jpeg","/portfolio-real/jardins/01-jardins-manutencao-de-areas-verdes-1.jpg"
"jardins","2","Manutenção de áreas verdes","PRAÇA NOSSA SENHORA DA CONCEIÇÃO","141,23","PRAÇA NOSSA SENHORA DA CONCEIÇÃO\Janeiro\30-01-2026\WhatsApp Image 2026-01-30 at 08.19.30.jpeg","/portfolio-real/jardins/02-jardins-manutencao-de-areas-verdes-2.jpg"
"jardins","3","Sede","MRV","136,42","MRV\Sede\2025\Maio\WhatsApp Image 2025-05-31 at 14.12.02.jpeg","/portfolio-real/jardins/03-jardins-sede-3.jpg"
"jardins","4","Catedral Bh","IURD","132,5","IURD\Catedral BH\2025\Fevereiro\21-02-2025\WhatsApp Image 2025-02-21 at 11.09.52.jpeg","/portfolio-real/jardins/04-jardins-catedral-bh-4.jpg"
"jardins","5","Terreno Aimorés","IURD","131,48","IURD\Terreno Aimorés\2025\18-09-2025\WhatsApp Unknown 2025-09-19 at 09.23.35\WhatsApp Image 2025-09-19 at 09.16.02 (2).jpeg","/portfolio-real/jardins/05-jardins-terreno-aimores-5.jpg"
"jardins","6","Plantio De Grama Do Campo","PREFEITURA DE MORRO DO PILAR","127,7","PREFEITURA DE MORRO DO PILAR\2025\MAIO\Relatório Whatsapp Carlos 23-05-25\Plantio de grama do campo\WhatsApp Image 2025-05-23 at 11.20.55 (2).jpeg","/portfolio-real/jardins/06-jardins-plantio-de-grama-do-campo-6.jpg"
"jardins","7","Sede","MRV","125,93","MRV\Sede\2025\Julho\WhatsApp Unknown 2025-07-01 at 09.37.16\WhatsApp Image 2025-07-01 at 09.28.39.jpeg","/portfolio-real/jardins/07-jardins-sede-7.jpg"
"jardins","8","Replantio De Grama No Campo","PREFEITURA DE MORRO DO PILAR","124,85","PREFEITURA DE MORRO DO PILAR\2025\CAMPO CAPELINHA\Replantio de grama no campo\WhatsApp Unknown 2025-09-17 at 16.30.47\WhatsApp Image 2025-09-17 at 16.28.51.jpeg","/portfolio-real/jardins/08-jardins-replantio-de-grama-no-campo-8.jpg"
"gramados","1","Campo","PREFEITURA DE DIAMANTINA","138,4","PREFEITURA DE DIAMANTINA\2026\CAMPO\ABRIL\28-04-2026\WhatsApp Image 2026-04-28 at 13.20.31.jpeg","/portfolio-real/gramados/01-gramados-campo-1.jpg"
"gramados","2","Plantio De Grama Do Campo","PREFEITURA DE MORRO DO PILAR","137,09","PREFEITURA DE MORRO DO PILAR\2025\MAIO\Relatório Whatsapp Carlos 23-05-25\Plantio de grama do campo\WhatsApp Image 2025-05-23 at 11.20.54.jpeg","/portfolio-real/gramados/02-gramados-plantio-de-grama-do-campo-2.jpg"
"gramados","3","Campo","PREFEITURA DE DIAMANTINA","135,65","PREFEITURA DE DIAMANTINA\2026\CAMPO\JUNHO\05-06-2026\WhatsApp Image 2026-06-05 at 13.32.28 (2).jpeg","/portfolio-real/gramados/03-gramados-campo-3.jpg"
"gramados","4","Campo","PREFEITURA DE MORRO DO PILAR","134,97","PREFEITURA DE MORRO DO PILAR\2025\MARÇO\CAMPO\WhatsApp Image 2025-04-04 at 07.29.24.jpeg","/portfolio-real/gramados/04-gramados-campo-4.jpg"
"gramados","5","Plantio De Grama","PREFEITURA DE RIO DOCE","129,55","PREFEITURA DE RIO DOCE\Estádio Municipal\2025\OUTUBRO\PLANTIO DE GRAMA\WhatsApp Image 2025-10-01 at 18.37.38.jpeg","/portfolio-real/gramados/05-gramados-plantio-de-grama-5.jpg"
"gramados","6","Estádio Municipal","PREFEITURA DE RIO DOCE","127,67","PREFEITURA DE RIO DOCE\Estádio Municipal\2025\DEZEMBRO\08-12-2025\WhatsApp Image 2025-12-08 at 14.51.16 (1).jpeg","/portfolio-real/gramados/06-gramados-estadio-municipal-6.jpg"
"gramados","7","Campo De Novo Soberbo Santa Cruz Do Escalvado","PROJETO HEXAGONO - SAMARCO","127,65","PROJETO HEXAGONO - SAMARCO\CAMPO DE NOVO SOBERBO - SANTA CRUZ DO ESCALVADO\2026\Março\23-03-2026\WhatsApp Image 2026-03-23 at 17.19.30 (2).jpeg","/portfolio-real/gramados/07-gramados-campo-de-novo-soberbo-santa-cruz-do-escalvado-7.jpg"
"gramados","8","Campo Santana Do Deserto Rio Doce","PROJETO HEXAGONO - SAMARCO","125,15","PROJETO HEXAGONO - SAMARCO\CAMPO SANTANA DO DESERTO - RIO DOCE\JULHO\WhatsApp Unknown 2025-07-17 at 10.19.58\WhatsApp Image 2025-07-17 at 07.19.19.jpeg","/portfolio-real/gramados/08-gramados-campo-santana-do-deserto-rio-doce-8.jpg"
"limpeza","1","Limpeza e conservação urbana","PRAÇA NOSSA SENHORA DA CONCEIÇÃO","145,11","PRAÇA NOSSA SENHORA DA CONCEIÇÃO\ABRIL\14-04-2026\WhatsApp Image 2026-04-14 at 13.10.05.jpeg","/portfolio-real/limpeza/01-limpeza-limpeza-e-conservacao-urbana-1.jpg"
"limpeza","2","Limpeza e conservação urbana","PRAÇA NOSSA SENHORA DA CONCEIÇÃO","144,01","PRAÇA NOSSA SENHORA DA CONCEIÇÃO\ABRIL\30-04-2026\WhatsApp Image 2026-04-30 at 17.58.20 (3).jpeg","/portfolio-real/limpeza/02-limpeza-limpeza-e-conservacao-urbana-2.jpg"
"limpeza","3","Limpeza Urbana","PREFEITURA DE RIO DOCE","140,16","PREFEITURA DE RIO DOCE\Limpeza Urbana\2025\AGOSTO\WhatsApp Unknown 2025-09-01 at 09.11.14\WhatsApp Image 2025-08-30 at 16.29.52 (2).jpeg","/portfolio-real/limpeza/03-limpeza-limpeza-urbana-3.jpg"
"limpeza","4","Limpeza Urbana","PREFEITURA DE RIO DOCE","139,02","PREFEITURA DE RIO DOCE\Limpeza Urbana\2026\Abril\07-04-2026\WhatsApp Image 2026-04-07 at 18.21.44 (1).jpeg","/portfolio-real/limpeza/04-limpeza-limpeza-urbana-4.jpg"
"limpeza","5","Rastelamento Do Campo","PREFEITURA DE MORRO DO PILAR","123,2","PREFEITURA DE MORRO DO PILAR\2025\MAIO\Relatório Whatsapp Carlos 23-05-25\Rastelamento do campo\WhatsApp Image 2025-05-23 at 11.18.42.jpeg","/portfolio-real/limpeza/05-limpeza-rastelamento-do-campo-5.jpg"
"limpeza","6","Corte Em Torno Do Campo Com Roçadeira","PREFEITURA DE MORRO DO PILAR","122,09","PREFEITURA DE MORRO DO PILAR\2025\MAIO\Relatório Whatsapp Carlos 23-05-25\Corte em torno do campo com roçadeira\WhatsApp Image 2025-05-23 at 11.39.36 (2).jpeg","/portfolio-real/limpeza/06-limpeza-corte-em-torno-do-campo-com-rocadeira-6.jpg"
"limpeza","7","Limpeza e conservação urbana","PRAÇA NOSSA SENHORA DA CONCEIÇÃO","144,87","PRAÇA NOSSA SENHORA DA CONCEIÇÃO\ABRIL\14-04-2026\WhatsApp Image 2026-04-14 at 13.11.11 (1).jpeg","/portfolio-real/limpeza/07-limpeza-limpeza-e-conservacao-urbana-7.jpg"
"limpeza","8","Limpeza Urbana","PREFEITURA DE RIO DOCE","138,12","PREFEITURA DE RIO DOCE\Limpeza Urbana\2026\Abril\10-04-2026\WhatsApp Image 2026-04-10 at 19.59.02 (1).jpeg","/portfolio-real/limpeza/08-limpeza-limpeza-urbana-8.jpg"
"poda","1","Corte E Supressão De Árvores","PREFEITURA DE DIAMANTINA","143,15","PREFEITURA DE DIAMANTINA\2025\NOVEMBRO\CORTE E SUPRESSÃO DE ÁRVORES\24-11-2025\WhatsApp Image 2025-11-24 at 15.40.43 (2).jpeg","/portfolio-real/poda/01-poda-corte-e-supressao-de-arvores-1.jpg"
"poda","2","Corte E Supressão De Árvores","PREFEITURA DE DIAMANTINA","140,56","PREFEITURA DE DIAMANTINA\2025\DEZEMBRO\corte e supressão de árvores\11-12-2025\WhatsApp Image 2025-12-11 at 15.52.13.jpeg","/portfolio-real/poda/02-poda-corte-e-supressao-de-arvores-2.jpg"
"poda","3","Corte E Supressão De Árvores","PREFEITURA DE DIAMANTINA","138,91","PREFEITURA DE DIAMANTINA\2025\NOVEMBRO\CORTE E SUPRESSÃO DE ÁRVORES\21-11-2025\WhatsApp Image 2025-11-21 at 13.40.52.jpeg","/portfolio-real/poda/03-poda-corte-e-supressao-de-arvores-3.jpg"
"poda","4","Corte E Supressão De Árvores","PREFEITURA DE DIAMANTINA","138,1","PREFEITURA DE DIAMANTINA\2025\NOVEMBRO\CORTE E SUPRESSÃO DE ÁRVORES\21-11-2025\WhatsApp Image 2025-11-21 at 13.42.18.jpeg","/portfolio-real/poda/04-poda-corte-e-supressao-de-arvores-4.jpg"
"poda","5","Corte E Supressão De Árvores","PREFEITURA DE DIAMANTINA","137,56","PREFEITURA DE DIAMANTINA\2026\CORTE E SUPRESSÃO DE ÁRVORES\Janeiro\26-01-2026\WhatsApp Image 2026-01-26 at 12.47.55.jpeg","/portfolio-real/poda/05-poda-corte-e-supressao-de-arvores-5.jpg"
"poda","6","Corte E Supressão De Árvores","PREFEITURA DE DIAMANTINA","137,55","PREFEITURA DE DIAMANTINA\2025\DEZEMBRO\corte e supressão de árvores\11-12-2025\WhatsApp Image 2025-12-11 at 15.52.15 (1).jpeg","/portfolio-real/poda/06-poda-corte-e-supressao-de-arvores-6.jpg"
"poda","7","Corte E Supressão De Árvores","PREFEITURA DE DIAMANTINA","137,29","PREFEITURA DE DIAMANTINA\2025\NOVEMBRO\CORTE E SUPRESSÃO DE ÁRVORES\25-11-2025\WhatsApp Image 2025-11-25 at 14.53.50.jpeg","/portfolio-real/poda/07-poda-corte-e-supressao-de-arvores-7.jpg"
"poda","8","Corte E Supressão De Árvores","PREFEITURA DE DIAMANTINA","136,12","PREFEITURA DE DIAMANTINA\2025\NOVEMBRO\CORTE E SUPRESSÃO DE ÁRVORES\26-11-2025\WhatsApp Image 2025-11-26 at 15.36.26.jpeg","/portfolio-real/poda/08-poda-corte-e-supressao-de-arvores-8.jpg"
